"Hour","Year","Month","Day","Minute","road_num","road_name","functional_road_class_desc","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","creation_date.x","description","cause_of_incident","from_road","to_road","affected_roads","incident_category_desc","magnitude_of_delay_desc","length_in_meters","delay_in_seconds","incident_date","latitude","longitude","temperature","atmospheric_pressure","humidity","wind_speed","clouds","precipitation","current_luminosity","sunrise","sunset","creation_date.y"
18,2019,1,17,40,2,"Avenida Central","Local High Importance Road",8,18,10,579,257,322,"2019-01-17 18:45:01.000000","queuing traffic","","Avenida Central (Rua De Santa Margarida)","N101 (Rua De Santa Margarida)","","Jam","Moderate",615,163,"2019-01-17 18:44:59.558000",41.5518035888672,-8.41716194152832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,40,1,"Avenida da Liberdade","Local High Importance Road",16,25,9,41,26,15,"2019-01-17 18:45:01.000000","queuing traffic","","Avenida da Liberdade (N309) / Avenida Jọo XXI (N309)","Avenida Jọo XXI (N103) / Rua Martins Sarmento","","Jam","Moderate",697,299,"2019-01-17 18:44:59.558000",41.547981262207,-8.41933250427246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,0,1,"Avenida da Liberdade","Local High Importance Road",16,25,9,41,26,15,"2019-01-17 19:05:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",381,201,"2019-01-17 19:04:59.436000",41.5515594482422,-8.41723155975342,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,17,12,927,272,655,"2019-01-17 19:05:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",440,295,"2019-01-17 19:04:59.436000",41.5516395568848,-8.41831111907959,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,17,12,927,272,655,"2019-01-17 19:05:01.000000","queuing traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Moderate",498,168,"2019-01-17 19:04:59.436000",41.5565032958985,-8.41729927062988,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,17,12,927,272,655,"2019-01-17 19:05:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",291,249,"2019-01-17 19:04:59.436000",41.5517196655273,-8.42352676391602,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,17,12,927,272,655,"2019-01-17 19:05:01.000000","stationary traffic","","Avenida Central (N101)","N103 (N101)","N101","Jam","Major",678,287,"2019-01-17 19:04:59.436000",41.5516891479492,-8.42290115356445,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,17,12,927,272,655,"2019-01-17 19:05:01.000000","stationary traffic","","Avenida Central (Rua De Santa Margarida)","N101 (Rua De Santa Margarida)","","Jam","Major",453,304,"2019-01-17 19:04:59.436000",41.553524017334,-8.41709232330322,8,1022,87,2,0,0,"DARK","2019-01-17 07:56:46.000000","2019-01-17 17:31:32.000000","2019-01-17 19:04:59.000000"
19,2019,1,17,20,2,"Avenida Central","Local High Importance Road",6,16,10,772,289,483,"2019-01-17 19:25:01.000000","queuing traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Moderate",386,208,"2019-01-17 19:24:59.214000",41.5516395568848,-8.41831111907959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,20,2,"Avenida Central","Local High Importance Road",6,16,10,772,289,483,"2019-01-17 19:25:01.000000","queuing traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Moderate",498,133,"2019-01-17 19:24:59.214000",41.5565032958985,-8.41729927062988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,20,1,"Avenida da Liberdade","Local High Importance Road",20,25,5,33,26,7,"2019-01-17 19:25:01.000000","queuing traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Moderate",381,121,"2019-01-17 19:24:59.214000",41.5515594482422,-8.41723155975342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,20,2,"Avenida Central","Local High Importance Road",6,16,10,772,289,483,"2019-01-17 19:25:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",291,241,"2019-01-17 19:24:59.214000",41.5517196655273,-8.42352676391602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,20,2,"Avenida Central","Local High Importance Road",6,16,10,772,289,483,"2019-01-17 19:25:01.000000","queuing traffic","","Avenida Central (N101)","N103 (N101)","N101","Jam","Moderate",551,190,"2019-01-17 19:24:59.214000",41.5507392883301,-8.4227294921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,17,40,2,"Avenida Central","Local High Importance Road",10,17,7,463,272,191,"2019-01-17 19:45:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",238,173,"2019-01-17 19:44:59.473000",41.5523262023926,-8.4235725402832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2019,1,18,20,1,"Avenida da Liberdade","Local High Importance Road",8,23,15,83,28,55,"2019-01-18 09:25:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",322,223,"2019-01-18 09:24:59.192000",41.5515594482422,-8.41723155975342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2019,1,18,20,2,"Avenida Central","Local High Importance Road",13,17,4,356,272,84,"2019-01-18 10:25:01.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",251,175,"2019-01-18 10:24:59.440000",41.5545120239258,-8.41703987121582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
